Clan Origin	Family Name	Birth year		Clan ID	Lat.	Long.	Easting	Northing
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		172	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		183	35.13946	126.79372	298.9985756	3890.736891
??	?	1927		190	36.10869	127.48807	363.9157068	3997.062128
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		193	33.53984	126.74658	290.7649965	3713.410314
??	?	1927		2905	36.19703	128.22945	430.7246844	4006.077419
??	?	1927		254	37.44987	129.16521	514.6126863	4144.792608
??	?	1927		254	37.44987	129.16521	514.6126863	4144.792608
??	?	1927		261	38.197	128.23741	433.2256704	4227.947728
??	?	1927		262	36.24292	128.29895	437.0098964	4011.120203
??	?	1927		262	36.24292	128.29895	437.0098964	4011.120203
??	?	1927		262	36.24292	128.29895	437.0098964	4011.120203
??	?	1927		264	37.13244	127.52201	368.7187108	4110.586799
??	?	1927		272	34.95064	127.48721	361.8670012	3868.614052
??	?	1927		272	34.95064	127.48721	361.8670012	3868.614052
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		279	36.56835	128.72936	475.7840563	4047.023837
??	?	1927		289	35.56942	129.12577	511.3966517	3936.199815
??	?	1927		325	35.82822	128.5255	457.1417347	3964.999684
??	?	1927		325	35.82822	128.5255	457.1417347	3964.999684
??	?	1927		329	36.35593	128.69476	472.6135577	4023.4707
??	?	1927		329	36.35593	128.69476	472.6135577	4023.4707
??	?	1927		329	36.35593	128.69476	472.6135577	4023.4707
??	?	1927		341	35.82422	127.14795	332.7002399	3966.035087
??	?	1927		342	37.38075	128.66095	469.983705	4137.165471
??	?	1927		363	37.00047	128.16813	425.9832109	4095.24788
??	?	1927		363	37.00047	128.16813	425.9832109	4095.24788
??	?	1927		379	36.58011	128.57202	461.7115536	4048.379465
??	?	1927		387	35.27256	128.40648	446.0201974	3903.431054
??	?	1927		393	37.48202	126.95161	318.8891455	4150.317094
??	?	1927		395	37.52657	126.85943	310.8504621	4155.441894
??	?	1927		3139	36.70131	126.66524	291.4358568	4064.278983
??	?	1927		0	37.34474	127.94863	406.875862	4133.634926
??	?	1927		455	35.15955	126.8526	304.4117658	3892.848004
??	?	1927		455	35.15955	126.8526	304.4117658	3892.848004
??	?	1927		528	36.78498	127.23468	342.4804768	4072.473291
??	?	1927		532	34.68169	126.90693	308.252062	3839.738039
??	?	1927		550	35.06594	126.51655	273.5387272	3883.176313
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		565	35.04637	126.84321	303.2844835	3880.312033
??	?	1927		601	37.75185	128.87606	489.0818321	4178.29006
??	?	1927		628	34.99045	126.48169	270.147805	3874.881723
??	?	1927		628	34.99045	126.48169	270.147805	3874.881723
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		633	35.50376	128.74644	477.0049047	3928.939998
??	?	1927		635	34.90379	126.65186	285.4569387	3864.890198
??	?	1927		635	34.90379	126.65186	285.4569387	3864.890198
??	?	1927		635	34.90379	126.65186	285.4569387	3864.890198
??	?	1927		635	34.90379	126.65186	285.4569387	3864.890198
??	?	1927		646	37.44987	129.16521	514.6126863	4144.792608
??	?	1927		648	36.41095	128.15908	424.6042375	4029.858798
??	?	1927		652	34.95064	127.48721	361.8670012	3868.614052
??	?	1927		652	34.95064	127.48721	361.8670012	3868.614052
??	?	1927		652	34.95064	127.48721	361.8670012	3868.614052
??	?	1927		698	37.88132	127.72997	388.3130276	4193.407485
??	?	1927		709	35.52046	127.72518	384.408822	3931.509767
??	?	1927		709	35.52046	127.72518	384.408822	3931.509767
??	?	1927		726	35.85617	129.22475	520.2929175	3968.019096
